RefsPieces,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
V53324576042-04300_NH4E,'2CC1-E00-009', 'TOD1-H00-901', '2CC1-B00-007', 'FCA1-A50-007', 'FCA1-B80-000', 'AHS1-C00-002', 'FCA1-370-000', 'FCA1-330-000', 'FCA1-D00-002', '2CC1-B00-009', 'AEX1-G66-004', '2CH1-D00-001',,,,,,,,,,,,,,,,
D53112143202-20301_NH4E,'2CC1-E00-008', '2CC1-E00-506', '2CC1-D00-005', 'TOD1-K00-012', '2CC1-F00-504',,,,,,,,,,,,,,,,,,,,,,,
V5332357601900_NH4E,'TOD1-H00-901', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-F00-003', 'FCA1-370-000', 'FCA1-D00-002', 'AEX1-G66-004', '2CH1-D00-001', '2CC1-B00-009', 'FCA1-850-012',,,,,,,,,,,,,,,,,,
D5391249020000_NH4E,'2CC1-F00-001', '2CC1-B00-053', 'FCA1-240-001', 'FCA1-300-000', 'FCA1-320-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,
D53118180200-20140_NH4E,'TOD1-H00-901', '2CC1-D00-001', 'FCA1-330-000', '2CC1-B00-032', '2CC1-800-050', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,,
V5392311220000_NH4E,'TOD1-H00-010', '2CC1-B00-034', '2CC1-B00-004', 'FCA1-320-002', 'FCA1-650-000', 'FAL1-C00-001',,,,,,,,,,,,,,,,,,,,,,
V92476241200-20200_NH4E,'FCA1-850-012', 'TOD1-H00-901', '2CC1-D00-001', '2CC1-800-003', 'FAL1-C00-001', 'FCA1-650-000', 'FCA1-500-000', '2CC1-600-051', '2CC1-E00-014',,,,,,,,,,,,,,,,,,,
D53111167200-20102_NH4E,'TOD1-H00-901', '2CC1-E00-004', '2CC1-800-506', '2CC1-800-030', '2CC1-B00-005', 'FCA1-320-004',,,,,,,,,,,,,,,,,,,,,,
E5323116520001_NH4E,'2CC1-D00-001', '2CC1-B00-005', 'TOD1-H00-901', '2CC1-B00-006', 'FCA1-320-002',,,,,,,,,,,,,,,,,,,,,,,
E5323610020001_NH4E,'TOD1-H00-901', '2CC1-B00-599', 'FCA1-320-002', '2CC1-D00-035',,,,,,,,,,,,,,,,,,,,,,,,
G0535246410501_NH4E,'TOD1-H00-009', 'FCA1-565-001', 'FCA1-330-000', 'FCA1-250-001', '2CC1-D00-002', '2CC1-A00-002', '2CC1-B00-009', '2CO1-D00-009',,,,,,,,,,,,,,,,,,,,
D53913039200-20101_NH4E,'TOD1-K00-003', '2CC1-F00-053', 'FCA1-850-010', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-005', '2CC1-D00-054', '2CC1-B00-540', 'FCA1-250-100', 'FCA1-610-000', 'ACW1-634-001', '2CO1-B00-902', '2CC1-D00-009',,,,,,,,,,,,,,,
D5313312720000_NH4E,'TOD1-H00-901', '2CC1-E00-005', 'FCA1-320-000', '2CC1-B00-005', '2CC1-D00-504', '2CC1-E00-002', '2CC1-D00-537',,,,,,,,,,,,,,,,,,,,,
V5248303120000_NH4E,'TOD1-H00-901', 'FCA1-980-000', 'ACW1-A00-004', 'FCA1-650-000', '2CC1-E00-014', 'FAP1-800-001', '2CC1-E00-004', 'FCA1-320-000', 'FCA1-480-002', '2CC1-800-003', '2CC1-800-004', '2CC1-B00-009', 'ACW1-005-002',,,,,,,,,,,,,,,
V5311621120000_NH4E,'TOD1-H00-009', '2CC1-E00-013', '2CC1-D00-512', 'FCA1-250-100', '2CC1-800-506', '2CC1-B00-009', 'FAP1-800-001',,,,,,,,,,,,,,,,,,,,,
G0535140410301_NH4E,'2CC1-F00-001', 'FCA1-250-001', 'FCA1-560-000', '2CC1-A00-002', 'FCA1-330-000', '2CC1-A00-006', '2CC1-B00-010', '2CC1-B00-599',,,,,,,,,,,,,,,,,,,,
D53112147200-20103_NH4E,'TOD1-H00-901', '2CC1-D00-504', '2CC1-D00-501', 'FCA1-320-000', '2CC1-E00-004', 'FCA1-B80-000', 'AHS1-C00-002', 'FCA1-850-012', '2CC1-D00-537', '2CC1-800-003', '2CC1-D00-005', '2CC1-400-031', '2CC1-B00-081',,,,,,,,,,,,,,,
V53324576006-00700_NH4E,'TOD1-H00-901', 'FAL1-C00-001', 'FCA1-A50-007', '2CC1-E00-005', '2CC1-E00-007', '2CC1-B00-003', 'FCA1-370-000', '2CC1-B00-005', 'FCA1-D00-002', 'ACW1-016-663', '2CH1-D00-001',,,,,,,,,,,,,,,,,
V5311347020200_NH4E,'TOD1-H00-901', '2CC1-D00-002', '2CC1-D00-004', '2CC1-B00-004', '2CC1-D00-001', '3PQ1-I00-006', 'FCA1-850-010', 'FCA1-B80-005', '2CC1-E00-014', 'FCA1-810-003', 'FCA1-330-000', 'FCA1-250-001', '2CC1-D00-008', '2CC1-D00-012', '2CC1-B00-005', '2CC1-D00-038', 'AHS1-C00-002',,,,,,,,,,,
D53135147200-20100_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-004', 'FCA1-320-000', '2CC1-B00-005', 'FCA1-510-002',,,,,,,,,,,,,,,,,,,,,,
V5311197120000VERS01_NH4E,'TOD1-H00-901', 'FCA1-780-000', '2CC1-800-401', 'FCA1-250-100', 'FCA1-330-003', 'FAP1-800-019', 'ACW1-800-004', '2CC1-600-001', '2CC1-B00-009', '2CC1-D00-008',,,,,,,,,,,,,,,,,,
G0535247910501_NH4E,'TOD1-H00-901', 'FCA1-850-012', 'FAL1-C00-001', '2CC1-E00-014', 'FCA1-560-000', 'FCA1-250-001', 'FCA1-330-003', '2CC1-B00-007', '2CC1-400-030', '2CC1-B00-009',,,,,,,,,,,,,,,,,,
V5311547920000_NH4E,'2CC1-E00-001', '3PQ1-038-001', '2CC1-400-030', 'FCA1-500-000', '2CC1-E00-014', '3PQ1-038-002', '2CC1-B00-001',,,,,,,,,,,,,,,,,,,,,
V5311650820000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-B00-008', 'FCA1-410-000', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,
D5323113420002_NH4E,'2CC1-D00-001', 'FCA1-C70-002', '2CC1-B00-081', '3CB1-M00-013', 'ACW1-D20-001', 'FCA1-C70-004', 'ACW1-D20-002',,,,,,,,,,,,,,,,,,,,,
V53918283200-20100_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-D00-002', 'FCA1-430-000', 'FCA1-250-001', 'FCA1-500-000', '2CC1-B00-004', '2CC1-B00-005',,,,,,,,,,,,,,,,,
D5311830720001_NH4E,'2CC1-D00-001', '2CC1-D00-504', 'FCA1-320-002', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,,,,
V5391040920000_NH4E,'TOD1-H00-901', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-D00-004', '2CC1-B00-540', '2CC1-B00-009', 'FCA1-250-002',,,,,,,,,,,,,,,,,,,,,
D5313548720000_NH4E,'TOD1-H00-901', '2CC1-B00-005', '2CO1-D00-009', 'FCA1-650-000', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-001', '2CC1-B00-506', '2CC1-E00-066', 'FCA1-320-000',,,,,,,,,,,,,,,,,,
D53135147200-20101_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-004', '2CC1-800-401', 'FCA1-320-000', 'FCA1-510-002', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,
D5311830720002_NH4E,'2CC1-D00-001', '2CC1-D00-504', 'FCA1-320-002', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,,,,
V5311261220100_NH4E,'TOD1-H00-901', 'FCA1-900-000', 'FCA1-C00-000', '2CC1-B00-009', '2CC1-E00-014', '2CC1-D00-008', '2CC1-800-049', 'FCA1-330-006',,,,,,,,,,,,,,,,,,,,
D5391055520001_NH4E,'2CC1-F00-002', '2CC1-D00-001', 'FCA1-410-000', 'FCA1-650-000', '3CB1-N00-007', '2CC1-D00-010', '2CC1-B00-001',,,,,,,,,,,,,,,,,,,,,
E5391109520000_NH4E,'TOD1-H00-901', '2CC1-B00-004', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CO1-B00-003', '2CC1-E00-014', 'FCA1-320-002', '2CC1-A00-001',,,,,,,,,,,,,,,,,,,
V53912292200-20100_NH4E,'TOD1-H00-009', 'FCA1-980-000', 'FCA1-A00-001', '2CC1-D00-035', '2CC1-E00-013', '2CC1-B00-599',,,,,,,,,,,,,,,,,,,,,,
V5332333921200_NH4E,'TOD1-H00-901', '2CC1-B00-009', '2CO1-D00-009', 'FCA1-980-000', 'ACW1-A00-004', '2CC1-D00-001', '2CC1-E00-014', '2CC1-D00-508', 'FCA1-330-004', 'FCA1-360-002',,,,,,,,,,,,,,,,,,
V57911187200-20100_NH4E,'TOD1-H00-901', '2CC1-D00-002', '2CC1-E00-014', 'FAL1-C00-001', '2CC1-A00-001', 'FCA1-560-000', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,
G0535248310501_NH4E,'TOD1-H00-901', '2CC1-A00-017', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-650-000', '2CC1-E00-014', '2CC1-F00-003', '2CC1-D00-003', 'FCA1-330-000', 'FCA1-250-100', 'FCA1-560-003', '2CC1-A00-005',,,,,,,,,,,,,,,,
V53324576054-05500_NH4E,'TOD1-H00-901', 'FCA1-B80-000', 'AHS1-C00-002', 'FCA1-A50-007', '2CC1-E00-005', '2CC1-E00-007', '2CC1-B00-003', 'FCA1-340-000', '2CC1-B00-005', 'FCA1-D00-002', 'AEX1-G66-004', '2CH1-D00-001', 'FCA1-370-000',,,,,,,,,,,,,,,
D5311330920001_NH4E,'TOD1-H00-901', '2CC1-D00-051', '2CO1-A00-002', 'FCA1-770-000', 'ACW1-793-001', 'FCA1-250-100', '2CC1-A00-015', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,
V5392803220000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-007', '2CC1-B00-042', '2CH1-D00-001', '2CC1-B00-011', 'FCA1-330-004', 'FCA1-360-002', 'FCA1-D00-002', 'ACW1-016-672',,,,,,,,,,,,,,,,,,
G0534371910301_NH4E,'TOD1-H00-901', 'FCA1-850-012', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-330-000', 'FCA1-250-001', 'FCA1-610-001', '2CC1-E00-014', '2CC1-B00-004', '2CC1-D00-003', '2CC1-B00-003', '2CC1-B00-009',,,,,,,,,,,,,,,,
V53311984210-21100_NH4E,'TOD1-H00-901', '2CC1-B00-009', '2CO1-D00-009', 'FCA1-850-012', 'FAL1-C00-001', '2CC1-E00-014', '2CC1-E00-001', '2CC1-400-047', '2CC1-D00-004', '2CC1-800-007', 'FCA1-410-000', '2CC1-B00-047', '2CC1-D00-010',,,,,,,,,,,,,,,
V5392803920000_NH4E,'2CC1-D00-005', '2CC1-B00-009', '2CH1-D00-001', '2CC1-B00-011', 'TOD1-H00-901', 'FCA1-360-002', 'FCA1-330-003', 'FCA1-D00-002', 'AEX1-G66-004',,,,,,,,,,,,,,,,,,,
E5323338320000_NH4E,'TOD1-H00-901', '2CC1-B00-005', 'FCA1-320-002', '2CC1-D00-006', '2CC1-500-002',,,,,,,,,,,,,,,,,,,,,,,
V9241311220000_NH4E,'TOD1-H00-901', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', 'FCA1-560-000', 'FAP1-800-001', 'FCA1-410-000', '2CC1-A00-005',,,,,,,,,,,,,,,,,,,,
D53110937200-20101_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-504', '2CC1-B00-004', '2CC1-600-052', 'FCA1-320-002', '2CC1-D00-501', '2CC1-B00-505',,,,,,,,,,,,,,,,,,,,
V5311197320000VERS01_NH4E,'TOD1-H00-901', 'FCA1-780-000', '2CC1-800-401', 'FCA1-250-100', 'FCA1-330-003', 'FAP1-800-019', 'ACW1-800-004', '2CC1-600-001', '2CC1-B00-009', '2CC1-D00-008',,,,,,,,,,,,,,,,,,
G05346946105_NH4E,'TOD1-H00-901', 'FCA1-330-003', 'FCA1-900-000', '2CC1-D00-003', '2CC1-B00-011', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,
V5312626620000_NH4E,'TOD1-H00-009', '2CC1-B00-004', 'FCA1-330-000', 'FCA1-500-000', 'FCA1-250-001', '2CC1-D00-006', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,
G0535248210501_NH4E,'TOD1-H00-901', 'FCA1-565-001', 'FCA1-250-001', '2CC1-B00-005', 'FCA1-650-000', 'FAL1-C00-001', '2CC1-E00-011', '2CC1-D00-003', '2CC1-A00-007', 'FCA1-330-000', '2CC1-E00-014',,,,,,,,,,,,,,,,,
D5311375120000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-400-047', '2CC1-B00-006', '2CC1-B00-005', '2CC1-400-030', '2CC1-D00-002', 'FCA1-330-003',,,,,,,,,,,,,,,,,,,,
V5311190320000VERS01_NH4E,'TOD1-H00-901', '2CC1-D00-004', '2CC1-A00-005', '2CC1-E00-014', 'FCA1-250-100', 'FAP1-800-001', '2CC1-B00-047',,,,,,,,,,,,,,,,,,,,,
V5311197120100_NH4E,'TOD1-H00-901', 'FCA1-780-000', '2CC1-800-401', 'FCA1-250-100', 'FCA1-330-003', 'FAP1-800-019', 'ACW1-800-004', '2CC1-600-001', '2CC1-B00-009', '2CC1-D00-008',,,,,,,,,,,,,,,,,,
V5312435620400_NH4E,'TOD1-H00-901', '2CC1-B00-009', '2CC1-800-003', 'FAL1-C00-001', '2CC1-E00-014', 'FCA1-320-000', 'AEX1-G66-004', '2CH1-600-005', 'FCA1-800-000', 'FAP1-800-001', '2CC1-B00-010', 'FCA1-300-000', 'ACW1-325-001',,,,,,,,,,,,,,,
V5391241300200_NH4E,'TOD1-H00-901', '2CC1-800-041', '2CC1-B00-001', 'FCA1-510-002', 'FCA1-250-001', 'FCA1-480-002', 'ACW1-505-001', '2CO1-B00-902', '2CC1-B00-015',,,,,,,,,,,,,,,,,,,
V53912279200-20100_NH4E,'2CC1-F00-001', 'FCA1-330-000', '2CC1-B00-005', 'FCA1-670-001', '2CC1-E00-008',,,,,,,,,,,,,,,,,,,,,,,
D5311830720003_NH4E,'2CC1-D00-001', '2CC1-D00-004', 'FCA1-320-002', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,,,,
V5311189920000_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-B00-402', 'FCA1-410-000', '2CC1-D00-012', '2CC1-E00-014', 'FCA1-380-000', 'ACW1-400-005', '2CC1-A00-001', '2CO1-A00-002',,,,,,,,,,,,,,,,,,
V5311198320000_NH4E,'TOD1-H00-901', 'FCA1-330-003', 'FCA1-780-000', 'ACW1-800-004', '2CC1-B00-004', '2CC1-800-004', '2CC1-B00-005', '2CC1-E00-014', '2CC1-800-007',,,,,,,,,,,,,,,,,,,
G05344239107-10801_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-B00-006', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-330-008', 'FCA1-250-001', 'FCA1-610-001', '2CC1-E00-014', '2CC1-D00-003', '2CC1-B00-003', '2CC1-B00-009',,,,,,,,,,,,,,,,
D52810029200-20105_NH4E,'TOD1-H00-901', 'FCA1-320-000', '2CC1-D00-008', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,,
V57110872200-20100_NH4E,'2CC1-E00-005', 'FCA1-900-000', '2CC1-800-044', '2CC1-D00-004', '2CC1-B00-008', '2CC1-B00-080', 'ACW1-953-001',,,,,,,,,,,,,,,,,,,,,
V5392803120000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-007', '2CC1-B00-042', '2CH1-D00-001', '2CC1-B00-511', 'FCA1-340-001', 'FCA1-370-001', 'FCA1-C00-000', 'AEX1-G66-004',,,,,,,,,,,,,,,,,,
D53135756200-20100_NH4E,'TOD1-H00-009', 'FCA1-410-000', '2CC1-B00-006', '2CC1-800-004', 'FCA1-740-000', '2CC1-D00-001',,,,,,,,,,,,,,,,,,,,,,
F5311354420040_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-004', 'FCA1-320-000', '2CC1-400-047', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,,
V53316146202-20300_NH4E,'TOD1-H00-901', '2CC1-800-401', 'FCA1-A50-007', '2CC1-E00-014', '2CC1-D00-001', '2CC1-B00-009', '2CC1-600-001', '2CC1-A00-005', 'FCA1-780-000', 'ACW1-800-004',,,,,,,,,,,,,,,,,,
D53925105200-20100_NH4E,'TOD1-H00-009', '2CC1-D00-002', '2CC1-800-002', '2CC1-A00-012', '2CC1-D00-032', 'FCA1-330-003', 'FCA1-660-000',,,,,,,,,,,,,,,,,,,,,
V5312751020000_NH4E,'2CC1-D00-008', 'FCA1-330-003', '2CC1-B00-009', '2CC1-800-004',,,,,,,,,,,,,,,,,,,,,,,,
D53112184200-20102_NH4E,'TOD1-H00-901', '2CC1-B00-005', 'FCA1-310-003', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', '2CC1-D00-004', 'FCA1-510-002',,,,,,,,,,,,,,,,,,,,
D5391380220001_NH4E,'TOD1-H00-041', 'FCA1-850-012', '2CC1-B00-043', '2CC1-B00-008', 'FCA1-620-000', 'ACW1-633-001', '2CC1-800-506', 'FCA1-250-002', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,
F5312395920002-03-05-06-07_NH4E,'2CC1-E00-004', 'FCA1-410-000', '2CC1-B00-555',,,,,,,,,,,,,,,,,,,,,,,,,
V5391167720000_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FCA1-250-100', 'FCA1-330-003', 'FCA1-560-000', '2CC1-D00-008', '2CC1-B00-009', 'FAP1-800-001',,,,,,,,,,,,,,,,,,,,
V5393910020000_NH4E,'TOD1-H00-901', 'FCA1-550-004', 'FCA1-980-000', 'ACW1-A00-004', '2CC1-E00-014', '2CC1-B00-004', 'FCA1-330-000', '2CH1-600-005', '2CC1-800-004',,,,,,,,,,,,,,,,,,,
V5312753220000_NH4E,'TOD1-H00-901', 'FCA1-650-000', 'FCA1-780-000', 'ACW1-800-004', '2CC1-E00-014', '2CC1-D00-004', 'FCA1-880-001', 'FCA1-250-100', 'FCA1-330-003', '2CC1-A00-005',,,,,,,,,,,,,,,,,,
D53133030200-20102-03_NH4E,'TOD1-H00-901', '2CC1-D00-004', 'FCA1-320-002', '2CC1-800-001', '2CC1-B00-004',,,,,,,,,,,,,,,,,,,,,,,
V5392802420000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-D00-007', '2CC1-B00-042', '2CH1-D00-001', '2CC1-B00-511', 'FCA1-330-004', 'FCA1-360-002', 'FCA1-D00-002', 'AEX1-G66-004',,,,,,,,,,,,,,,,,,
V5311555420201_NH4E,'TOD1-H00-901', '2CC1-D00-004', 'FCA1-650-000', 'FAL1-C00-001', 'FCA1-330-000', 'FCA1-400-002', 'FCA1-410-000', '2CC1-B00-005', '2CC1-E00-014', '2CC1-800-003',,,,,,,,,,,,,,,,,,
V53115540200-20201_NH4E,'TOD1-H00-901', '2CC1-E00-008', '2CC1-D00-012', 'FCA1-330-003', '2CC1-B00-009', '2CO1-D00-009', '2CC1-800-007',,,,,,,,,,,,,,,,,,,,,
V5312695620000_VERS01_NH4E,'TOD1-H00-010', '2CC1-A00-006', '2CC1-D00-008', 'FCA1-250-100', 'FCA1-410-001', '2CC1-E00-014', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,
F5311183220000_NH4E,'TOD1-H00-901', 'FCA1-850-012', '2CC1-E00-001', '2CC1-D00-004', '2CC1-B00-508', 'FCA1-320-002', 'FCA1-A30-000', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,
V5391191820040_NH4E,'TOD1-H00-901', 'FCA1-A50-007', 'FCA1-C10-001', '2CC1-E00-005', '2CC1-800-004', 'FCA1-980-000', '2CC1-B00-006', '2CC1-800-005', '2CC1-B00-009', '2CC1-400-030',,,,,,,,,,,,,,,,,,
D53135081200-20101_NH4E,'TOD1-H00-901', '2CC1-B00-005', 'FCA1-320-000', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', 'FCA1-510-002', '2CC1-D00-504',,,,,,,,,,,,,,,,,,,,
G05349288101_NH4E,'TOD1-H00-901', 'FCA1-560-000', 'FCA1-330-000', 'FCA1-250-001', '2CC1-E00-003', '2CC1-B00-007', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,,,
D5311237020005_NH4E,'TOD1-H00-901', '2CC1-B00-005', '2CO1-D00-009', 'FCA1-650-000', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-014', '2CC1-B00-506', '2CC1-E00-066',,,,,,,,,,,,,,,,,,,
V5312753820000VERS01_NH4E,'TOD1-H00-901', 'FCA1-580-000', 'ACW1-600-002', '2CC1-600-010', '2CC1-D00-004', '2CC1-800-003', '2CC1-B00-005', 'FCA1-250-100', 'FCA1-330-003', 'FCA1-410-001',,,,,,,,,,,,,,,,,,
G0534927910110201_NH4E,'2CC1-E00-030', 'FCA1-330-000', 'FCA1-250-001', 'FCA1-730-000', 'FCA1-580-000', '2CC1-D00-039', '2CC1-B00-051', '2CC1-B00-034',,,,,,,,,,,,,,,,,,,,
V53911695002-00300_NH4E,'TOD1-H00-901', '2CC1-E00-004', 'FCA1-850-012', 'FCA1-650-000', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-009', 'FCA1-330-000', 'FCA1-D00-002', '2CC1-B00-005', 'AEX1-H46-001', '2CH1-D00-001',,,,,,,,,,,,,,,,
D53118569200-20140_NH4E,'2CC1-F00-004', '2CC1-E00-004', 'FCA1-450-000', '2CC1-B00-001', '2CC1-D00-045', '2CC1-D00-055',,,,,,,,,,,,,,,,,,,,,,
D5311812520001_NH4E,'TOD1-K00-003', '2CC1-F00-002', 'FCA1-850-012', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-E00-005', '2CC1-D00-051', 'FCA1-250-100', '2CC1-B00-005',,,,,,,,,,,,,,,,,,,
G0534961810310_NH4E,'TOD1-H00-901', '2CC1-E00-005', 'FCA1-250-001', 'FCA1-330-004', 'FCA1-500-000', '2CC1-D00-007', '2CC1-A00-018', '2CC1-B00-001', '3PQ1-M00-021', '2CC1-A00-001',,,,,,,,,,,,,,,,,,
D53110938200-20101_NH4E,'2CC1-D00-005', '2CC1-E00-048', '2CC1-800-401', 'FCA1-320-000', '2CC1-D00-008', '2AL1-D00-021', '2CC1-D00-009',,,,,,,,,,,,,,,,,,,,,
E5323139120000_NH4E,'2CC1-D00-001', 'FCA1-C70-002', '2CC1-B00-081', '3CB1-M00-013', 'ACW1-D20-001', 'FCA1-C70-004', 'ACW1-D20-002',,,,,,,,,,,,,,,,,,,,,
G0534702510501_NH4E,'TOD1-H00-901', '2CC1-D00-003', '2CC1-B00-003', '2CC1-B00-005', 'FCA1-580-000', 'FCA1-330-000', 'FCA1-250-001', 'FCA1-650-000', '2CC1-E00-014', 'FAL1-C00-001',,,,,,,,,,,,,,,,,,
G0534694110501-10_NH4E,'TOD1-H00-901', '2CC1-E00-014', '2CC1-B00-007', '2CC1-A00-007', 'FCA1-250-100', 'FCA1-560-002', '2CC1-B00-009', 'FCA1-330-000', 'FCA1-780-000', 'ACW1-800-004',,,,,,,,,,,,,,,,,,
V5393325820000_NH4E,'TOD1-H00-901', '3PQ1-I00-006', 'FCA1-580-002', 'ACW1-600-002', '2CC1-E00-011', '2CC1-B00-001', '2CH1-D00-001', '2CC1-B00-011', 'FCA1-330-004', 'FCA1-360-002', '2CC1-B00-009', 'AEX1-G66-004', 'FCA1-D00-002',,,,,,,,,,,,,,,
V57911540200-20100_NH4E,'2CC1-F00-004', 'FCA1-500-000', '2CC1-B00-054', 'FCA1-490-000', '2CC1-E00-089',,,,,,,,,,,,,,,,,,,,,,,
V53316145202-20300_NH4E,'TOD1-H00-901', '2CC1-E00-012', '2CC1-B00-054',,,,,,,,,,,,,,,,,,,,,,,,,
V53912343200-20200_NH4E,'TOD1-H00-901', 'FCA1-330-000', '2CC1-B00-599', '2CC1-B00-010', 'FCA1-670-001',,,,,,,,,,,,,,,,,,,,,,,
V5393532420001_NH4E,'TOD1-H00-901', 'FCA1-850-012', 'FAL1-C00-001', '2CC1-B00-001', '2CO1-A00-002', '2CC1-E00-014', 'FCA1-330-003', 'FCA1-880-001', 'FCA1-820-000', 'FCA1-630-002', '2CC1-D00-004', '2CC1-B00-005',,,,,,,,,,,,,,,,
V5312695120000_NH4E,'TOD1-H00-901', 'FCA1-250-001', 'FCA1-A30-000', 'FCA1-330-003', '2CC1-E00-011', 'FCA1-H50-000', '2CC1-D00-012', '2CC1-B00-023', '2CC1-800-007', '2CC1-B00-054', 'TOD1-H00-009', '2CC1-E00-018',,,,,,,,,,,,,,,,
F5311689320002-03-05-06-07_MAT1_NH4E,'2CC1-E00-004', 'FCA1-410-000', '2CC1-B00-555',,,,,,,,,,,,,,,,,,,,,,,,,
V5392875100000_NH4E,'TOD1-H00-901', '2CC1-B00-004', 'FCA1-580-000', 'ACW1-600-002', '2CC1-B00-001', 'FCA1-B80-000', 'AHS1-C00-002', '2CC1-A00-001', '2CC1-A00-008', '2CH1-600-005',,,,,,,,,,,,,,,,,,
V5312750620000_NH4E,'2CC1-D00-008', 'FCA1-330-003', '2CC1-B00-009', '2CC1-800-004',,,,,,,,,,,,,,,,,,,,,,,,
V5392311220200_NH4E,'TOD1-H00-010', '2CC1-A00-012', '2CC1-B00-004', 'FCA1-320-002', 'FCA1-650-000', 'FAL1-C00-001',,,,,,,,,,,,,,,,,,,,,,
V5332457621700_NH4E,'TOD1-H00-901', '2CC1-E00-066', '2CC1-B00-011', '2CC1-800-566', '2CC1-400-030', '2CC1-D00-009', 'FCA1-370-000',,,,,,,,,,,,,,,,,,,,,
F53116746200-20140_NH4E,'TOD1-H00-901', '2CC1-D00-004', 'FCA1-330-003', 'FCA1-650-000', 'FAL1-C00-001', '2CC1-E00-005', '2CC1-A00-006', '2CC1-B00-008', '2CC1-B00-005', '2CC1-D00-002', '2CC1-A00-005',,,,,,,,,,,,,,,,,
V5392349920000_NH4E,'TOD1-H00-901', 'FCA1-780-000', 'ACW1-800-004', 'FCA1-650-000', '2CC1-E00-014', '2CC1-D00-004', 'FCA1-E00-002', '2CC1-A00-001', 'AEX1-E28-001', 'AEX1-H46-001', 'FCA1-330-000', '2CH1-800-001', '2CC1-800-003', '2CC1-B00-006',,,,,,,,,,,,,,
E5323340920000_NH4E,'TOD1-H00-901', 'FCA1-650-000', '2CC1-B00-010', 'FCA1-320-000', '2CC1-B00-009',,,,,,,,,,,,,,,,,,,,,,,
V5392410420000_NH4E,'TOD1-H00-009', 'FCA1-330-003', 'FCA1-360-000', '2CC1-B00-009', '2CC1-B00-011', 'FCA1-D00-002', 'AEX1-G66-004', '2CH1-D00-001', '2CC1-A00-007',,,,,,,,,,,,,,,,,,,
V5311931120000_NH4E,'2CC1-D00-010', '2CC1-800-003', 'FCA1-580-000', 'ACW1-600-002', 'TOD1-H00-901', 'FCA1-250-001', '2CC1-B00-001',,,,,,,,,,,,,,,,,,,,,
E5323139720000_NH4E,'2CC1-D00-001', 'FCA1-C70-002', '2CC1-B00-081', '3CB1-M00-013', 'ACW1-D20-001', 'FCA1-C70-004', 'ACW1-D20-002',,,,,,,,,,,,,,,,,,,,,
